"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 29 17:47:59 GMT 2021","Thu Jul 29 17:48:32 GMT 2021","32822","conduit_tests","logout_test","","","","test_register",""
"broken","Thu Jul 29 17:47:05 GMT 2021","Thu Jul 29 17:47:15 GMT 2021","10424","conduit_tests","list_pagin_test","","","","test_login",""
"passed","Thu Jul 29 17:47:17 GMT 2021","Thu Jul 29 17:47:32 GMT 2021","14794","conduit_tests","listazas_test","","","","test_register",""
"passed","Thu Jul 29 17:47:32 GMT 2021","Thu Jul 29 17:47:38 GMT 2021","6408","conduit_tests","listazas_test","","","","test_login",""
"passed","Thu Jul 29 17:48:32 GMT 2021","Thu Jul 29 17:48:42 GMT 2021","10435","conduit_tests","logout_test","","","","test_login",""
"broken","Thu Jul 29 17:48:42 GMT 2021","Thu Jul 29 17:48:44 GMT 2021","2017","conduit_tests","logout_test","","","","test_logout",""
"broken","Thu Jul 29 17:47:38 GMT 2021","Thu Jul 29 17:47:59 GMT 2021","20648","conduit_tests","login_test","","","","test_login",""
"passed","Thu Jul 29 17:47:15 GMT 2021","Thu Jul 29 17:47:17 GMT 2021","2095","conduit_tests","list_pagin_test","","","","test_pagin",""
"passed","Thu Jul 29 17:47:38 GMT 2021","Thu Jul 29 17:47:38 GMT 2021","12","conduit_tests","listazas_test","","","","test_listazas",""
"passed","Thu Jul 29 17:46:32 GMT 2021","Thu Jul 29 17:47:05 GMT 2021","32854","conduit_tests","list_pagin_test","","","","test_register",""
"passed","Thu Jul 29 17:45:47 GMT 2021","Thu Jul 29 17:46:20 GMT 2021","33055","conduit_tests","cookie_post_test","","","","test_register",""
"passed","Thu Jul 29 17:46:20 GMT 2021","Thu Jul 29 17:46:30 GMT 2021","10448","conduit_tests","cookie_post_test","","","","test_login",""
"broken","Thu Jul 29 17:46:30 GMT 2021","Thu Jul 29 17:46:32 GMT 2021","1180","conduit_tests","cookie_post_test","","","","test_cookie1",""
"passed","Thu Jul 29 17:48:44 GMT 2021","Thu Jul 29 17:48:59 GMT 2021","14814","conduit_tests","register_test","","","","test_register",""
