"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 11:18:00 GMT 2021","Tue Aug 03 11:18:33 GMT 2021","33057","conduit_tests","list_pagin_test","","","","test_register",""
"passed","Tue Aug 03 11:20:14 GMT 2021","Tue Aug 03 11:20:24 GMT 2021","10043","conduit_tests","new_post_test","","","","test_register",""
"passed","Tue Aug 03 11:20:02 GMT 2021","Tue Aug 03 11:20:12 GMT 2021","10550","conduit_tests","logout_test","","","","test_login",""
"passed","Tue Aug 03 11:17:11 GMT 2021","Tue Aug 03 11:17:44 GMT 2021","33077","conduit_tests","edit_post_test","","","","test_register",""
"passed","Tue Aug 03 11:19:01 GMT 2021","Tue Aug 03 11:19:08 GMT 2021","6478","conduit_tests","listazas_test","","","","test_login",""
"passed","Tue Aug 03 11:16:56 GMT 2021","Tue Aug 03 11:17:05 GMT 2021","8475","conduit_tests","delete_test","","","","test_login",""
"passed","Tue Aug 03 11:16:36 GMT 2021","Tue Aug 03 11:16:47 GMT 2021","10516","conduit_tests","cookie_post_test","","","","test_login",""
"passed","Tue Aug 03 11:20:31 GMT 2021","Tue Aug 03 11:20:35 GMT 2021","4017","conduit_tests","new_post_test","","","","test_check1",""
"broken","Tue Aug 03 11:20:24 GMT 2021","Tue Aug 03 11:20:31 GMT 2021","6539","conduit_tests","new_post_test","","","","test_login",""
"broken","Tue Aug 03 11:18:33 GMT 2021","Tue Aug 03 11:18:44 GMT 2021","10521","conduit_tests","list_pagin_test","","","","test_login",""
"broken","Tue Aug 03 11:17:05 GMT 2021","Tue Aug 03 11:17:08 GMT 2021","3019","conduit_tests","delete_test","","","","test_new_post",""
"passed","Tue Aug 03 11:20:54 GMT 2021","Tue Aug 03 11:21:09 GMT 2021","15062","conduit_tests","register_test","","","","test_register",""
"passed","Tue Aug 03 11:21:09 GMT 2021","Tue Aug 03 11:21:24 GMT 2021","15128","conduit_tests","save_test","","","","test_register",""
"passed","Tue Aug 03 11:17:44 GMT 2021","Tue Aug 03 11:17:59 GMT 2021","15525","conduit_tests","edit_post_test","","","","test_login",""
"passed","Tue Aug 03 11:20:50 GMT 2021","Tue Aug 03 11:20:54 GMT 2021","4013","conduit_tests","new_post_test","","","","test_check2",""
"broken","Tue Aug 03 11:20:12 GMT 2021","Tue Aug 03 11:20:14 GMT 2021","2017","conduit_tests","logout_test","","","","test_logout",""
"passed","Tue Aug 03 11:21:24 GMT 2021","Tue Aug 03 11:21:30 GMT 2021","6495","conduit_tests","save_test","","","","test_login",""
"passed","Tue Aug 03 11:16:48 GMT 2021","Tue Aug 03 11:16:56 GMT 2021","7966","conduit_tests","delete_test","","","","test_register",""
"passed","Tue Aug 03 11:18:46 GMT 2021","Tue Aug 03 11:19:01 GMT 2021","15047","conduit_tests","listazas_test","","","","test_register",""
"broken","Tue Aug 03 11:17:08 GMT 2021","Tue Aug 03 11:17:11 GMT 2021","3019","conduit_tests","delete_test","","","","test_delete_post",""
"passed","Tue Aug 03 11:19:29 GMT 2021","Tue Aug 03 11:20:02 GMT 2021","33099","conduit_tests","logout_test","","","","test_register",""
"passed","Tue Aug 03 11:18:44 GMT 2021","Tue Aug 03 11:18:46 GMT 2021","2097","conduit_tests","list_pagin_test","","","","test_pagin",""
"passed","Tue Aug 03 11:19:08 GMT 2021","Tue Aug 03 11:19:08 GMT 2021","12","conduit_tests","listazas_test","","","","test_listazas",""
"broken","Tue Aug 03 11:20:35 GMT 2021","Tue Aug 03 11:20:49 GMT 2021","14572","conduit_tests","new_post_test","","","","test_new_post",""
"passed","Tue Aug 03 11:16:03 GMT 2021","Tue Aug 03 11:16:36 GMT 2021","33631","conduit_tests","cookie_post_test","","","","test_register",""
"broken","Tue Aug 03 11:19:08 GMT 2021","Tue Aug 03 11:19:29 GMT 2021","20857","conduit_tests","login_test","","","","test_login",""
"broken","Tue Aug 03 11:17:59 GMT 2021","Tue Aug 03 11:18:00 GMT 2021","1100","conduit_tests","edit_post_test","","","","test_edit_emil",""
"passed","Tue Aug 03 11:21:30 GMT 2021","Tue Aug 03 11:21:30 GMT 2021","11","conduit_tests","save_test","","","","test_save",""
"broken","Tue Aug 03 11:16:47 GMT 2021","Tue Aug 03 11:16:48 GMT 2021","1178","conduit_tests","cookie_post_test","","","","test_cookie1",""
