"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 02 15:15:20 GMT 2021","Mon Aug 02 15:15:22 GMT 2021","2098","conduit_tests","list_pagin_test","","","","test_pagin",""
"passed","Mon Aug 02 15:17:05 GMT 2021","Mon Aug 02 15:17:20 GMT 2021","15036","conduit_tests","save_test","","","","test_register",""
"passed","Mon Aug 02 15:14:36 GMT 2021","Mon Aug 02 15:15:09 GMT 2021","33013","conduit_tests","list_pagin_test","","","","test_register",""
"passed","Mon Aug 02 15:14:20 GMT 2021","Mon Aug 02 15:14:35 GMT 2021","15522","conduit_tests","edit_post_test","","","","test_login",""
"passed","Mon Aug 02 15:17:20 GMT 2021","Mon Aug 02 15:17:26 GMT 2021","6481","conduit_tests","save_test","","","","test_login",""
"passed","Mon Aug 02 15:16:37 GMT 2021","Mon Aug 02 15:16:48 GMT 2021","10536","conduit_tests","logout_test","","","","test_login",""
"passed","Mon Aug 02 15:16:04 GMT 2021","Mon Aug 02 15:16:37 GMT 2021","33080","conduit_tests","logout_test","","","","test_register",""
"passed","Mon Aug 02 15:13:12 GMT 2021","Mon Aug 02 15:13:23 GMT 2021","10546","conduit_tests","cookie_post_test","","","","test_login",""
"broken","Mon Aug 02 15:13:40 GMT 2021","Mon Aug 02 15:13:43 GMT 2021","3019","conduit_tests","delete_test","","","","test_new_post",""
"passed","Mon Aug 02 15:13:47 GMT 2021","Mon Aug 02 15:14:20 GMT 2021","32989","conduit_tests","edit_post_test","","","","test_register",""
"passed","Mon Aug 02 15:13:24 GMT 2021","Mon Aug 02 15:13:32 GMT 2021","8046","conduit_tests","delete_test","","","","test_register",""
"passed","Mon Aug 02 15:13:32 GMT 2021","Mon Aug 02 15:13:40 GMT 2021","8443","conduit_tests","delete_test","","","","test_login",""
"passed","Mon Aug 02 15:15:43 GMT 2021","Mon Aug 02 15:15:43 GMT 2021","13","conduit_tests","listazas_test","","","","test_listazas",""
"broken","Mon Aug 02 15:13:23 GMT 2021","Mon Aug 02 15:13:24 GMT 2021","1173","conduit_tests","cookie_post_test","","","","test_cookie1",""
"broken","Mon Aug 02 15:16:48 GMT 2021","Mon Aug 02 15:16:50 GMT 2021","2017","conduit_tests","logout_test","","","","test_logout",""
"passed","Mon Aug 02 15:12:39 GMT 2021","Mon Aug 02 15:13:12 GMT 2021","33303","conduit_tests","cookie_post_test","","","","test_register",""
"passed","Mon Aug 02 15:17:26 GMT 2021","Mon Aug 02 15:17:26 GMT 2021","12","conduit_tests","save_test","","","","test_save",""
"passed","Mon Aug 02 15:15:22 GMT 2021","Mon Aug 02 15:15:37 GMT 2021","14984","conduit_tests","listazas_test","","","","test_register",""
"passed","Mon Aug 02 15:16:50 GMT 2021","Mon Aug 02 15:17:05 GMT 2021","15024","conduit_tests","register_test","","","","test_register",""
"broken","Mon Aug 02 15:15:43 GMT 2021","Mon Aug 02 15:16:04 GMT 2021","20825","conduit_tests","login_test","","","","test_login",""
"passed","Mon Aug 02 15:15:37 GMT 2021","Mon Aug 02 15:15:43 GMT 2021","6454","conduit_tests","listazas_test","","","","test_login",""
"broken","Mon Aug 02 15:13:43 GMT 2021","Mon Aug 02 15:13:46 GMT 2021","3018","conduit_tests","delete_test","","","","test_delete_post",""
"broken","Mon Aug 02 15:15:09 GMT 2021","Mon Aug 02 15:15:20 GMT 2021","10506","conduit_tests","list_pagin_test","","","","test_login",""
"broken","Mon Aug 02 15:14:35 GMT 2021","Mon Aug 02 15:14:36 GMT 2021","1087","conduit_tests","edit_post_test","","","","test_edit_emil",""
