"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 20:04:01 GMT 2021","Sun Aug 15 20:04:17 GMT 2021","15513","conduit_tests","edit_email_05_test","","","","test_login",""
"passed","Sun Aug 15 20:03:00 GMT 2021","Sun Aug 15 20:03:08 GMT 2021","7971","conduit_tests","delete_06_test","","","","test_register",""
"broken","Sun Aug 15 20:01:37 GMT 2021","Sun Aug 15 20:02:07 GMT 2021","30437","conduit_tests","adatbevitel_11_test","","","","test_adatbevitel",""
"passed","Sun Aug 15 20:05:18 GMT 2021","Sun Aug 15 20:05:33 GMT 2021","14967","conduit_tests","listazas_10_test","","","","test_register",""
"broken","Sun Aug 15 20:04:17 GMT 2021","Sun Aug 15 20:04:18 GMT 2021","1095","conduit_tests","edit_email_05_test","","","","test_edit_emil",""
"broken","Sun Aug 15 20:07:24 GMT 2021","Sun Aug 15 20:07:38 GMT 2021","13610","conduit_tests","new_post_04_test","","","","test_login",""
"passed","Sun Aug 15 20:05:33 GMT 2021","Sun Aug 15 20:05:40 GMT 2021","6468","conduit_tests","listazas_10_test","","","","test_login",""
"broken","Sun Aug 15 20:07:48 GMT 2021","Sun Aug 15 20:08:16 GMT 2021","28580","conduit_tests","new_post_04_test","","","","test_new_post",""
"passed","Sun Aug 15 20:03:08 GMT 2021","Sun Aug 15 20:03:20 GMT 2021","11505","conduit_tests","delete_06_test","","","","test_login",""
"passed","Sun Aug 15 20:07:05 GMT 2021","Sun Aug 15 20:07:19 GMT 2021","13543","conduit_tests","logout_03_test","","","","test_login",""
"passed","Sun Aug 15 20:07:38 GMT 2021","Sun Aug 15 20:07:48 GMT 2021","10024","conduit_tests","new_post_04_test","","","","test_check1",""
"passed","Sun Aug 15 20:04:18 GMT 2021","Sun Aug 15 20:04:51 GMT 2021","32952","conduit_tests","list_pagin_08_test","","","","test_register",""
"passed","Sun Aug 15 20:03:28 GMT 2021","Sun Aug 15 20:04:01 GMT 2021","33047","conduit_tests","edit_email_05_test","","","","test_register",""
"passed","Sun Aug 15 20:08:17 GMT 2021","Sun Aug 15 20:08:27 GMT 2021","10024","conduit_tests","new_post_04_test","","","","test_check2",""
"broken","Sun Aug 15 20:03:23 GMT 2021","Sun Aug 15 20:03:28 GMT 2021","5024","conduit_tests","delete_06_test","","","","test_delete_post",""
"passed","Sun Aug 15 20:02:07 GMT 2021","Sun Aug 15 20:02:28 GMT 2021","20997","conduit_tests","cookie_post_07_test","","","","test_register",""
"passed","Sun Aug 15 20:09:10 GMT 2021","Sun Aug 15 20:09:17 GMT 2021","6504","conduit_tests","save_09_test","","","","test_login",""
"broken","Sun Aug 15 20:07:19 GMT 2021","Sun Aug 15 20:07:24 GMT 2021","4773","conduit_tests","new_post_04_test","","","","test_register",""
"passed","Sun Aug 15 20:05:08 GMT 2021","Sun Aug 15 20:05:18 GMT 2021","10120","conduit_tests","list_pagin_08_test","","","","test_pagin",""
"passed","Sun Aug 15 20:04:51 GMT 2021","Sun Aug 15 20:05:08 GMT 2021","17492","conduit_tests","list_pagin_08_test","","","","test_login",""
"broken","Sun Aug 15 20:05:55 GMT 2021","Sun Aug 15 20:06:32 GMT 2021","37629","conduit_tests","login_02_test","","","","test_login",""
"passed","Sun Aug 15 20:09:17 GMT 2021","Sun Aug 15 20:09:17 GMT 2021","12","conduit_tests","save_09_test","","","","test_save",""
"broken","Sun Aug 15 20:08:16 GMT 2021","Sun Aug 15 20:08:17 GMT 2021","1097","conduit_tests","new_post_04_test","","","","test_home",""
"passed","Sun Aug 15 20:05:40 GMT 2021","Sun Aug 15 20:05:40 GMT 2021","12","conduit_tests","listazas_10_test","","","","test_listazas",""
"passed","Sun Aug 15 20:01:23 GMT 2021","Sun Aug 15 20:01:37 GMT 2021","13543","conduit_tests","adatbevitel_11_test","","","","test_login",""
"passed","Sun Aug 15 20:08:55 GMT 2021","Sun Aug 15 20:09:10 GMT 2021","15099","conduit_tests","save_09_test","","","","test_register",""
"broken","Sun Aug 15 20:07:19 GMT 2021","Sun Aug 15 20:07:19 GMT 2021","21","conduit_tests","logout_03_test","","","","test_logout",""
"broken","Sun Aug 15 20:03:20 GMT 2021","Sun Aug 15 20:03:23 GMT 2021","3017","conduit_tests","delete_06_test","","","","test_new_post",""
"passed","Sun Aug 15 20:08:27 GMT 2021","Sun Aug 15 20:08:55 GMT 2021","27986","conduit_tests","register_01_test","","","","test_register",""
"passed","Sun Aug 15 20:06:32 GMT 2021","Sun Aug 15 20:07:05 GMT 2021","33063","conduit_tests","logout_03_test","","","","test_register",""
"passed","Sun Aug 15 20:02:28 GMT 2021","Sun Aug 15 20:03:00 GMT 2021","32270","conduit_tests","cookie_post_07_test","","","","test_cookie1",""
"passed","Sun Aug 15 20:00:59 GMT 2021","Sun Aug 15 20:01:23 GMT 2021","24399","conduit_tests","adatbevitel_11_test","","","","test_register",""
"passed","Sun Aug 15 20:05:40 GMT 2021","Sun Aug 15 20:05:55 GMT 2021","14916","conduit_tests","login_02_test","","","","test_register",""
